blind_review_id,current_label,review_tags,content_evidence_fields,source_exists,source_size_bytes,file_entropy,file_entropy_bytes,file_entropy_truncated,mz_signature,pe_parse_status,pe_machine,pe_timestamp,pe_characteristics,pe_optional_magic,pe_subsystem,pe_dll_characteristics,pe_number_of_sections,pe_section_names,pe_section_raw_size_total,pe_section_raw_end_max,pe_has_export_directory,pe_export_directory_size,pe_has_import_directory,pe_import_directory_size,pe_has_resource_directory,pe_resource_directory_size,pe_has_security_directory,pe_security_directory_file_offset,pe_security_directory_size,overlay_size,overlay_entropy,overlay_entropy_bytes,overlay_entropy_truncated,overlay_after_security_size,overlay_after_security_entropy,overlay_after_security_entropy_bytes,overlay_after_security_entropy_truncated,cache_exists,cache_size_bytes,duplicate_manifest_sha_group,manifest_duplicate_group_size,objective_issue_count,objective_issue_flags,identity_columns_are_not_evidence,manual_label_verdict,manual_verdict_note,recommended_action
blind-00001,1,has_resource_directory|has_security_directory|high_file_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,487424,7.252709,487424,false,true,ok,332,1699540026,8451,0x10b,2,16640,5,.text|.rdata|.data|.rsrc|.reloc,486400,487424,true,168,true,160,true,199548,true,289280,10968,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00002,1,has_resource_directory|has_security_directory|overlay_present|high_overlay_entropy|many_sections,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,37944,6.195296,37944,false,true,ok,34404,1358317497,34,0x20b,1,0,8,.text|.rdata|.data|.pdata|.edata|INIT|.rsrc|.reloc,29696,30720,true,99,true,60,true,856,true,30720,7224,7224,7.300724,7224,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00003,0,has_resource_directory|overlay_present|overlay_after_security_present|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,77520,6.341869,77520,false,true,ok,332,1506353444,259,0x10b,2,0,4,.text|.rdata|.data|.rsrc,64512,65536,false,0,true,240,true,13724,false,0,0,11984,7.421695,11984,false,11984,7.421695,11984,false,true,12264,false,,0,,true,,,
blind-00004,0,has_resource_directory,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,158208,6.502009,158208,false,true,ok,332,1653039096,8450,0x10b,2,320,5,.text|.rdata|.data|.rsrc|.reloc,157184,158208,true,104,true,140,true,1976,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00005,0,has_resource_directory,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,749568,6.505667,749568,false,true,ok,34404,1752815236,34,0x20b,3,33120,6,.text|.rdata|.data|.pdata|.rsrc|.reloc,748544,749568,false,0,true,340,true,480,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00006,1,has_resource_directory,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,179712,6.331098,179712,false,true,ok,332,1247528463,258,0x10b,2,33088,4,.text|.data|.rsrc|.reloc,178688,179712,false,0,true,300,true,127328,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00007,0,has_resource_directory|has_security_directory|overlay_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,291440,7.890537,291440,false,true,ok,332,1450868628,8450,0x10b,2,0,7,.text|.rdata|.data|.wow0|.wow1|.reloc|.rsrc,284160,285184,true,389,true,140,true,1432,true,285848,5592,6256,7.401177,6256,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00008,1,has_resource_directory|has_security_directory|overlay_present|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,16820088,6.992802,16820088,false,true,ok,34404,1755568949,34,0x20b,2,33120,6,.text|.rdata|.data|.pdata|.rsrc|.reloc,16808448,16809472,false,0,true,380,true,3275278,true,16809472,10616,10616,7.642280,10616,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00009,0,has_resource_directory,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,26624,6.108466,26624,false,true,ok,332,1530497224,8450,0x10b,2,320,5,.text|.rdata|.data|.rsrc|.reloc,25600,26624,false,0,true,100,true,480,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00010,0,,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,2048,3.651821,2048,false,true,ok,332,1413625213,271,0x10b,2,0,2,.text|.rdata,1536,2048,false,0,true,80,false,0,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
