review_batch_rank,review_category,review_priority_rank,loop57_error_type,label,review_tags,content_evidence_fields,source_exists,source_size_bytes,source_sha256_match,source_sha256_actual,file_entropy,file_entropy_bytes,file_entropy_truncated,mz_signature,pe_parse_status,pe_machine,pe_timestamp,pe_characteristics,pe_optional_magic,pe_subsystem,pe_dll_characteristics,pe_number_of_sections,pe_section_names,pe_section_raw_size_total,pe_section_raw_end_max,pe_has_export_directory,pe_export_directory_size,pe_has_import_directory,pe_import_directory_size,pe_has_resource_directory,pe_resource_directory_size,pe_has_security_directory,pe_security_directory_file_offset,pe_security_directory_size,overlay_size,overlay_entropy,overlay_entropy_bytes,overlay_entropy_truncated,overlay_after_security_size,overlay_after_security_entropy,overlay_after_security_entropy_bytes,overlay_after_security_entropy_truncated,cache_exists,cache_size_bytes,duplicate_manifest_sha_group,manifest_duplicate_group_id,manifest_duplicate_group_size,manifest_duplicate_group_focus_rows,objective_issue_count,objective_issue_flags,identity_columns_are_not_evidence,model_score_columns_are_not_verdict_evidence,source_path,cache_path,source_sha256,sample_index,split,loop57_final_prob,loop57_base_prob,loop57_candidate_prob,loop57_gate_prob,loop39_corrected_by_any_compared_model,manual_label_verdict,manual_verdict_note,recommended_action,loop95_wave_id,loop95_wave_row_number,loop95_intake_row_number,loop96_blind_review_id
,c_high_conflict_persistent_error,,FN,1,has_resource_directory|has_security_directory|high_file_entropy,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,487424,true,184e53af04ff158a22facbe4499694223462bfed7d6c96e83ec1be69272348e4,7.252709,487424,false,true,ok,332,1699540026,8451,0x10b,2,16640,5,.text|.rdata|.data|.rsrc|.reloc,486400,487424,true,168,true,160,true,199548,true,289280,10968,0,,0,false,0,,0,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待拉黑\黑文件1\分类样本\PikaBot\184e53af04ff158a22facbe4499694223462bfed7d6c96e83ec1be69272348e4.dll,E:\Project\python\Axon_v2.6Exp\data\.cache\d9e9ef30baf26939c2449b1b8d0bfaab_38672ba0.npz,184e53af04ff158a22facbe4499694223462bfed7d6c96e83ec1be69272348e4,85480,test,0.0260674357,0.0260674357,0.5099999905,0.3711729348,True,,,,2,166,366,blind-00001
,c_high_conflict_persistent_error,,FN,1,has_resource_directory|has_security_directory|overlay_present|high_overlay_entropy|many_sections,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,37944,true,76660e91f1ff3cb89630df5af4fe09de6098d09baa66b1a130c89c3c5edd5b22,6.195296,37944,false,true,ok,34404,1358317497,34,0x20b,1,0,8,.text|.rdata|.data|.pdata|.edata|INIT|.rsrc|.reloc,29696,30720,true,99,true,60,true,856,true,30720,7224,7224,7.300724,7224,false,0,,0,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待拉黑\黑文件1\samples\samples\APT 19\76660e91f1ff3cb89630df5af4fe09de6098d09baa66b1a130c89c3c5edd5b22_extracted\76660e91f1ff3cb89630df5af4fe09de6098d09baa66b1a130c89c3c5edd5b22,E:\Project\python\Axon_v2.6Exp\data\.cache\03357dbdb9f8f8a347360a0a1bd890b1_38672ba0.npz,76660e91f1ff3cb89630df5af4fe09de6098d09baa66b1a130c89c3c5edd5b22,96621,test,0.0024604723,0.0024604723,0.1333333403,0.1196208224,False,,,,1,55,55,blind-00002
,c_high_conflict_persistent_error,,FP,0,has_resource_directory|overlay_present|overlay_after_security_present|high_overlay_entropy,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,77520,true,98a6f833f1861a097fe66724d2fab8ddeff4e74c51f7d3e84375edaa6f537029,6.341869,77520,false,true,ok,332,1506353444,259,0x10b,2,0,4,.text|.rdata|.data|.rsrc,64512,65536,false,0,true,240,true,13724,false,0,0,11984,7.421695,11984,false,11984,7.421695,11984,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\98a6f833f1861a097fe66724d2fab8ddeff4e74c51f7d3e84375edaa6f537029.exe,E:\Project\python\Axon_v2.6Exp\data\.cache\2265d93490fb9df51d1afb3a635ae69d_38672ba0.npz,98a6f833f1861a097fe66724d2fab8ddeff4e74c51f7d3e84375edaa6f537029,107459,test,0.9972791076,0.9972791076,0.8833333254,0.1314107478,False,,,,2,18,218,blind-00003
,f_persistent_fp,,FP,0,has_resource_directory,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,158208,true,030c6d11e6f73cb52ac3f81cfb570bda9105d492a019de7492025313ccb5c068,6.502009,158208,false,true,ok,332,1653039096,8450,0x10b,2,320,5,.text|.rdata|.data|.rsrc|.reloc,157184,158208,true,104,true,140,true,1976,false,0,0,0,,0,false,0,,0,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\030c6d11e6f73cb52ac3f81cfb570bda9105d492a019de7492025313ccb5c068,E:\Project\python\Axon_v2.6Exp\data\.cache\7a668d682e027b68e38fd4737080146a_38672ba0.npz,030c6d11e6f73cb52ac3f81cfb570bda9105d492a019de7492025313ccb5c068,141162,test,0.5488900542,0.5488900542,0.5333333611,0.7258233428,,,,,9,103,1703,blind-00004
,f_persistent_fp,,FP,0,has_resource_directory,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,749568,true,b8e1db6fe2cdc00d126744c71acb980b7914e76ae48b5d1a167a02a75848c7e2,6.505667,749568,false,true,ok,34404,1752815236,34,0x20b,3,33120,6,.text|.rdata|.data|.pdata|.rsrc|.reloc,748544,749568,false,0,true,340,true,480,false,0,0,0,,0,false,0,,0,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\B8E1DB6FE2CDC00D126744C71ACB980B7914E76AE48B5D1A167A02A75848C7E2,E:\Project\python\Axon_v2.6Exp\data\.cache\12eba9d19bb0cc992a6b11536ac7e150_38672ba0.npz,b8e1db6fe2cdc00d126744c71acb980b7914e76ae48b5d1a167a02a75848c7e2,140057,test,0.8259491920,0.8259491920,0.4333333373,0.0344521254,,,,,7,124,1324,blind-00005
,e_persistent_fn,,FN,1,has_resource_directory,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,179712,true,e22958c7a0b8a9c355d90421fd76d2c39f700be52a90206bdb5036716e84793a,6.331098,179712,false,true,ok,332,1247528463,258,0x10b,2,33088,4,.text|.data|.rsrc|.reloc,178688,179712,false,0,true,300,true,127328,false,0,0,0,,0,false,0,,0,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待拉黑\2020-11\2020-11-07\e22958c7a0b8a9c355d90421fd76d2c39f700be52a90206bdb5036716e84793a.exe,E:\Project\python\Axon_v2.6Exp\data\.cache\029ffa2eb5b7ee01dda11be681b61510_38672ba0.npz,e22958c7a0b8a9c355d90421fd76d2c39f700be52a90206bdb5036716e84793a,54663,test,0.0732775033,0.0732775033,0.5333333611,0.4264380932,,,,,4,93,693,blind-00006
,d_loop57_new_error,,FP,0,has_resource_directory|has_security_directory|overlay_present|high_file_entropy|high_overlay_entropy,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,291440,true,c9badc3ebfd485c87cd34144faa72b5893fa541808a94491e714d616cac238b5,7.890537,291440,false,true,ok,332,1450868628,8450,0x10b,2,0,7,.text|.rdata|.data|.wow0|.wow1|.reloc|.rsrc,284160,285184,true,389,true,140,true,1432,true,285848,5592,6256,7.401177,6256,false,0,,0,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\c9badc3ebfd485c87cd34144faa72b5893fa541808a94491e714d616cac238b5,E:\Project\python\Axon_v2.6Exp\data\.cache\dfcfcb32b81aacc13a3b41244f834f5f_38672ba0.npz,c9badc3ebfd485c87cd34144faa72b5893fa541808a94491e714d616cac238b5,91090,test,0.5400000215,0.3034361303,0.5400000215,0.8927669525,,,,,10,61,1861,blind-00007
,e_persistent_fn,,FN,1,has_resource_directory|has_security_directory|overlay_present|high_overlay_entropy,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,16820088,true,d9ca878417879125a0aff7c605c423ff6db0332df74e0935a26fa02a041e3d7e,6.992802,16820088,false,true,ok,34404,1755568949,34,0x20b,2,33120,6,.text|.rdata|.data|.pdata|.rsrc|.reloc,16808448,16809472,false,0,true,380,true,3275278,true,16809472,10616,10616,7.642280,10616,false,0,,0,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待拉黑\2025-11\2025-11-21\d9ca878417879125a0aff7c605c423ff6db0332df74e0935a26fa02a041e3d7e.exe,E:\Project\python\Axon_v2.6Exp\data\.cache\9b1202f2f4bf5b2c20756058138a1075_38672ba0.npz,d9ca878417879125a0aff7c605c423ff6db0332df74e0935a26fa02a041e3d7e,148745,test,0.2449722141,0.2449722141,0.4399999976,0.7430244088,,,,,6,111,1111,blind-00008
,f_persistent_fp,,FP,0,has_resource_directory,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,26624,true,9dc4b83af1577a87333e0c951d96f668ea791cb45ad46e9b7637fc02ebd78cb2,6.108466,26624,false,true,ok,332,1530497224,8450,0x10b,2,320,5,.text|.rdata|.data|.rsrc|.reloc,25600,26624,false,0,true,100,true,480,false,0,0,0,,0,false,0,,0,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\9dc4b83af1577a87333e0c951d96f668ea791cb45ad46e9b7637fc02ebd78cb2,E:\Project\python\Axon_v2.6Exp\data\.cache\9bb9942ff5fcc48404147c006fe3c5c7_38672ba0.npz,9dc4b83af1577a87333e0c951d96f668ea791cb45ad46e9b7637fc02ebd78cb2,68412,test,0.8933737874,0.8933737874,0.7366666794,0.0453751646,,,,,5,154,954,blind-00009
,c_high_conflict_persistent_error,,FP,0,,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,2048,true,6d70fc5a0d51a4b92191bfe7b10df0ff33c1c9c79550f2ddbe0a312fe81176b5,3.651821,2048,false,true,ok,332,1413625213,271,0x10b,2,0,2,.text|.rdata,1536,2048,false,0,true,80,false,0,false,0,0,0,,0,false,0,,0,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\6D70FC5A0D51A4B92191BFE7B10DF0FF33C1C9C79550F2DDBE0A312FE81176B5,E:\Project\python\Axon_v2.6Exp\data\.cache\ea187c3283312ec928577ebf4dfacc92_38672ba0.npz,6d70fc5a0d51a4b92191bfe7b10df0ff33c1c9c79550f2ddbe0a312fe81176b5,111442,test,0.9690572619,0.9690572619,0.6499999762,0.0137120998,True,,,,3,175,575,blind-00010
