active_sample_index,active_split,all_issue_flags,byte_sequence_dtype,byte_sequence_shape,cache_label,cache_path_exists,cache_source_sha256,conflict_bucket,label,lightweight_features_dtype,lightweight_features_shape,loop28_error_type,loop28_score,manifest_source_sha256_group_size,manual_label_verdict,objective_issue_count,objective_issue_flags,pe_features_dtype,pe_features_shape,pe_has_exports,pe_has_imports,pe_has_resources,pe_has_security_directory,pe_is_dll,pe_machine,pe_overlay_size,pe_sections,queue_source_sha256_group_size,recommended_action,review_lane,review_priority_rank,source_file_sha256,source_path,source_sha256,stat_features_dtype,stat_features_shape,strict_pe_parse_ok
65033,test,,uint8,8192,0,True,37acd8bca76578edb281ac23a31f1415fe94d2b3981e43488051aa82bccb7c12,severe_fp_conflict_prob_ge_0.99,0,float32,256,FP,0.9999155998,1,,0,,float32,256,False,True,True,False,False,332,0,4,1,,A_unfixed_severe_conflict,1,37acd8bca76578edb281ac23a31f1415fe94d2b3981e43488051aa82bccb7c12,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\37acd8bca76578edb281ac23a31f1415fe94d2b3981e43488051aa82bccb7c12,37acd8bca76578edb281ac23a31f1415fe94d2b3981e43488051aa82bccb7c12,float32,49,True
73824,test,,uint8,8192,0,True,7476e0919e0013b2208ecbebe20dd29fc58f4555e93c0992abf12f49a94a5618,severe_fp_conflict_prob_ge_0.99,0,float32,256,FP,0.9998964071,1,,0,,float32,256,True,True,True,False,False,332,22600130,11,1,,A_unfixed_severe_conflict,2,7476e0919e0013b2208ecbebe20dd29fc58f4555e93c0992abf12f49a94a5618,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\7476e0919e0013b2208ecbebe20dd29fc58f4555e93c0992abf12f49a94a5618,7476e0919e0013b2208ecbebe20dd29fc58f4555e93c0992abf12f49a94a5618,float32,49,True
152963,test,,uint8,8192,0,True,76359cd4b0349a83337b941332ad042c90351c2bb0a4628307740324c97984cc,severe_fp_conflict_prob_ge_0.99,0,float32,256,FP,0.9998275638,1,,0,,float32,256,False,True,True,False,False,332,0,3,1,,A_unfixed_severe_conflict,3,76359cd4b0349a83337b941332ad042c90351c2bb0a4628307740324c97984cc,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\76359CD4B0349A83337B941332AD042C90351C2BB0A4628307740324C97984CC,76359cd4b0349a83337b941332ad042c90351c2bb0a4628307740324c97984cc,float32,49,True
64067,test,,uint8,8192,0,True,ef296e133fb1e675afe893d40e20cc528adaa383cc0831c8c0deb8db83e1d233,severe_fp_conflict_prob_ge_0.99,0,float32,256,FP,0.9998223186,1,,0,,float32,256,False,True,True,False,False,332,8418144,5,1,,A_unfixed_severe_conflict,4,ef296e133fb1e675afe893d40e20cc528adaa383cc0831c8c0deb8db83e1d233,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\ef296e133fb1e675afe893d40e20cc528adaa383cc0831c8c0deb8db83e1d233,ef296e133fb1e675afe893d40e20cc528adaa383cc0831c8c0deb8db83e1d233,float32,49,True
50332,test,,uint8,8192,0,True,4e7caced7dc31493fb6b5f4917da163c6e9e61f0b16906a6e70b2a242fdcea8d,severe_fp_conflict_prob_ge_0.99,0,float32,256,FP,0.9998005033,1,,0,,float32,256,False,True,True,False,False,332,0,3,1,,A_unfixed_severe_conflict,5,4e7caced7dc31493fb6b5f4917da163c6e9e61f0b16906a6e70b2a242fdcea8d,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\4E7CACED7DC31493FB6B5F4917DA163C6E9E61F0B16906A6E70B2A242FDCEA8D,4e7caced7dc31493fb6b5f4917da163c6e9e61f0b16906a6e70b2a242fdcea8d,float32,49,True
182380,test,,uint8,8192,0,True,5f99d29063806fc37a746512333e2cb7aaddb28b0510ba72d747bf22ea7ea3c7,severe_fp_conflict_prob_ge_0.99,0,float32,256,FP,0.9997823834,1,,0,,float32,256,False,True,True,False,False,332,100861020,6,1,,A_unfixed_severe_conflict,6,5f99d29063806fc37a746512333e2cb7aaddb28b0510ba72d747bf22ea7ea3c7,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\5f99d29063806fc37a746512333e2cb7aaddb28b0510ba72d747bf22ea7ea3c7.exe,5f99d29063806fc37a746512333e2cb7aaddb28b0510ba72d747bf22ea7ea3c7,float32,49,True
47094,test,,uint8,8192,0,True,9592d51ff4b3054c18c37790a4487d77f972a2c686eb2236e3ce91f095f459f5,severe_fp_conflict_prob_ge_0.99,0,float32,256,FP,0.9997733235,1,,0,,float32,256,False,True,True,False,False,332,497794,4,1,,A_unfixed_severe_conflict,7,9592d51ff4b3054c18c37790a4487d77f972a2c686eb2236e3ce91f095f459f5,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\9592d51ff4b3054c18c37790a4487d77f972a2c686eb2236e3ce91f095f459f5,9592d51ff4b3054c18c37790a4487d77f972a2c686eb2236e3ce91f095f459f5,float32,49,True
69588,test,,uint8,8192,0,True,da4a852113f28ea6d86540f27130b0013041a24680cb3d2d1fdc599b69ba7932,severe_fp_conflict_prob_ge_0.99,0,float32,256,FP,0.9997724295,1,,0,,float32,256,True,True,True,False,False,332,9179,10,1,,A_unfixed_severe_conflict,8,da4a852113f28ea6d86540f27130b0013041a24680cb3d2d1fdc599b69ba7932,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\DA4A852113F28EA6D86540F27130B0013041A24680CB3D2D1FDC599B69BA7932,da4a852113f28ea6d86540f27130b0013041a24680cb3d2d1fdc599b69ba7932,float32,49,True
69211,test,,uint8,8192,0,True,ba8d38e7ee9248cdaab7c2a2ebadb940050604854a33f277805aedaad81b3619,severe_fp_conflict_prob_ge_0.99,0,float32,256,FP,0.9997559786,1,,0,,float32,256,False,True,True,False,False,332,471403,5,1,,A_unfixed_severe_conflict,9,ba8d38e7ee9248cdaab7c2a2ebadb940050604854a33f277805aedaad81b3619,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\ba8d38e7ee9248cdaab7c2a2ebadb940050604854a33f277805aedaad81b3619,ba8d38e7ee9248cdaab7c2a2ebadb940050604854a33f277805aedaad81b3619,float32,49,True
128509,test,,uint8,8192,0,True,9ee3dbdd42280459bc8e0f85fbec75aa537ff29f776756c63c3f9b3b5901c0dd,severe_fp_conflict_prob_ge_0.99,0,float32,256,FP,0.9997557998,1,,0,,float32,256,True,True,True,False,False,332,9627,11,1,,A_unfixed_severe_conflict,10,9ee3dbdd42280459bc8e0f85fbec75aa537ff29f776756c63c3f9b3b5901c0dd,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\9ee3dbdd42280459bc8e0f85fbec75aa537ff29f776756c63c3f9b3b5901c0dd,9ee3dbdd42280459bc8e0f85fbec75aa537ff29f776756c63c3f9b3b5901c0dd,float32,49,True
